face_x,face_y,face_width,face_height,face_cam_x,face_cam_y,face_cam_z,torso_x,torso_y,torso_width,torso_height,torso_cam_x,torso_cam_y,torso_cam_z,person_x,person_y,person_width,person_height,person_cam_x,person_cam_y,person_cam_z,mean_cam_z 
436,1,183,175,0.5024890556039459,-0.35544667535840796,1.296,-1,-1,-1,-1,nan,nan,nan,-1,-1,-1,-1,nan,nan,nan,1.296
255,0,222,170,0.04849014677863981,-0.13700679016810158,0.49,-1,-1,-1,-1,nan,nan,nan,-1,-1,-1,-1,nan,nan,nan,0.49
257,57,231,152,0.06308949328483678,-0.11163345933588986,0.5750000000000001,-1,-1,-1,-1,nan,nan,nan,-1,-1,-1,-1,nan,nan,nan,0.5750000000000001
255,74,228,149,0.06855149205410498,-0.11000724269416384,0.657,-1,-1,-1,-1,nan,nan,nan,-1,-1,-1,-1,nan,nan,nan,0.657
267,114,195,136,0.054076127175034586,-0.06061466498402445,0.5670000000000001,-1,-1,-1,-1,nan,nan,nan,-1,-1,-1,-1,nan,nan,nan,0.5670000000000001
259,82,202,142,0.14684985074699738,-0.26396341434493537,1.665,-1,-1,-1,-1,nan,nan,nan,-1,-1,-1,-1,nan,nan,nan,1.665
472,27,273,166,0.8789196296741227,-0.3876716424212897,1.649,-1,-1,-1,-1,nan,nan,nan,-1,-1,-1,-1,nan,nan,nan,1.649
337,67,183,131,0.23685071981409256,-0.22080812273768347,1.127,-1,-1,-1,-1,nan,nan,nan,148,28,447,384,0.09033514628538325,-0.03285049584690404,0.837,0.982
306,92,151,108,0.13781989727310123,-0.18724454197221913,1.095,144,127,350,351,0.011729638676963116,0.08539775826087558,0.8,147,49,429,372,0.0787427121258006,-0.010973797737367195,0.875,0.875
254,88,141,107,0.01991997245798339,-0.15165715171304295,0.843,100,174,303,366,-0.08465985610890604,0.16148521535376079,0.789,104,50,425,365,0.008000533193830546,-0.015414945455927196,0.862,0.843
228,86,150,100,-0.011719183884894508,-0.1576512251451395,0.835,62,147,329,354,-0.12140712865060375,0.116441459131454,0.798,69,51,427,352,-0.044823693730043045,-0.02322251499324297,0.867,0.835
226,82,144,96,-0.018678243540695135,-0.16198298188508084,0.812,81,159,318,339,-0.10048024333125369,0.12105331724925474,0.791,80,55,423,343,-0.030579622077632332,-0.024566188782798204,0.86,0.812
227,83,148,99,-0.014608700712749322,-0.16242230146365538,0.8290000000000001,84,160,317,342,-0.0978897120643011,0.12559503229267444,0.793,83,56,422,339,-0.026012584997215663,-0.026158048454129258,0.862,0.8290000000000001
232,83,149,101,-0.007260927015985735,-0.16288777805706361,0.839,85,161,315,341,-0.0983834811037175,0.12622855074055678,0.797,83,52,426,344,-0.02315979233430943,-0.027981913181349037,0.871,0.839
232,85,142,100,-0.0116630440818531,-0.1583755454247932,0.8310000000000001,87,163,313,339,-0.09671071444090226,0.12732723183540423,0.795,83,54,424,343,-0.02460845142191808,-0.026309777273468754,0.867,0.8310000000000001
230,85,144,99,-0.01321680852576793,-0.1606245400286326,0.835,86,161,315,339,-0.09671071444090226,0.12449635119782695,0.795,85,55,423,339,-0.023053432782831545,-0.027853408413581648,0.867,0.835
231,84,144,101,-0.011719183884894508,-0.1606245400286326,0.835,87,163,313,337,-0.09646741704608239,0.12559503229267444,0.793,86,54,424,336,-0.019943395504658474,-0.030940670693807428,0.867,0.835
234,84,144,100,-0.007157075854851255,-0.15908562227985532,0.8270000000000001,87,163,313,338,-0.09585917355903269,0.1262061115550925,0.788,86,54,424,337,-0.01973637063782811,-0.03061948726099974,0.858,0.8270000000000001
234,88,147,98,-0.0051249436348340255,-0.13970650547836472,0.747,86,161,316,340,-0.08761410365998529,0.11577549635049811,0.731,84,53,425,341,-0.0202349046686676,-0.025802937832020235,0.761,0.747
234,84,145,103,-0.01454781682225509,-0.3203721923695275,1.681,80,165,313,356,-0.21029709529136462,0.2816600214604254,1.567,85,51,427,349,-0.03588431025059657,-0.04733939163392303,1.56,1.567
-1,-1,-1,-1,nan,nan,nan,-1,-1,-1,-1,nan,nan,nan,138,40,434,379,0.1276400073972255,-0.037413947082665155,1.611,1.611
